Level1	Level2	Level3	Level4	Level5	Level6	Level7	2009
L1-1:global_warming not one like time people now climate_change because year just through how only even get world no think well work research day down here see students years most science today off com much free know make can life back	L2-1:not like people time one now because global_warming just get how even only think no well here year through students com free know make day see first back still why today org most school way work made going can life	L3-2:students through free people org school year one two children kids show team friday com saturday dollquant new schools http_www center tuesday play ohio game community thursday 2009 james see made sunday events high_school new_yor	L4-3:year one two play ohio game people 2009 see james thursday top against found team new bring take tuesday business events told again office off outside year_old while games two_years_ago during best community three each yesterday c	L5-5:year people 2009 see thursday two found one bring take tuesday business events told office while during community each yesterday called often police making event offered airport year_old email information times news taking reporte	L6-10:thursday two tuesday yesterday called police year airport reported friday outside off involved took charges against known told associated_press later left since charged found case court hospital office soon official death down fel	L7-19:(thursday two tuesday yesterday called police year airport reported friday outside off involved took charges against known told associated_press later left since charged found case court hospital office soon official death down fel)	50.921794
L1-1:global_warming not one like time people now climate_change because year just through how only even get world no think well work research day down here see students years most science today off com much free know make can life back	L2-1:not like people time one now because global_warming just get how even only think no well here year through students com free know make day see first back still why today org most school way work made going can life	L3-2:students through free people org school year one two children kids show team friday com saturday dollquant new schools http_www center tuesday play ohio game community thursday 2009 james see made sunday events high_school new_yor	L4-3:year one two play ohio game people 2009 see james thursday top against found team new bring take tuesday business events told again office off outside year_old while games two_years_ago during best community three each yesterday c	L5-6:play ohio game james one two team again games well run season now sports win another playing top watching point against mike new whether brown peter great time two_years_ago not ever gets points best night 2010 cleveland paul thre	L6-11:(play ohio game james one two team again games well run season now sports win another playing top watching point against mike new whether brown peter great time two_years_ago not ever gets points best night 2010 cleveland paul thre)	L7-21:(play ohio game james one two team again games well run season now sports win another playing top watching point against mike new whether brown peter great time two_years_ago not ever gets points best night 2010 cleveland paul thre)	48.874783
L1-1:global_warming not one like time people now climate_change because year just through how only even get world no think well work research day down here see students years most science today off com much free know make can life back	L2-1:not like people time one now because global_warming just get how even only think no well here year through students com free know make day see first back still why today org most school way work made going can life	L3-2:students through free people org school year one two children kids show team friday com saturday dollquant new schools http_www center tuesday play ohio game community thursday 2009 james see made sunday events high_school new_yor	L4-4:students through free org school people children kids com dollquant saturday show schools http_www center friday sunday open park road work www education holiday st_nw_202 high_school christmas competition team hope day music_midd	L5-7:through free org com dollquant saturday show http_www center friday sunday open park road www holiday st_nw_202 christmas team day music_midday_noon_jefferson_hotel_101 music art 10 7_pmtime children new_york 2 st tour work museum	L6-13:free through show http_www org open st_nw_202 team art work life saturday works collection building st club museum 10 21_st_century drive first competition teams open_daily design through_dec_28 through_dec_31 exhibit friday st_pe	L7-25:(free through show http_www org open st_nw_202 team art work life saturday works collection building st club museum 10 21_st_century drive first competition teams open_daily design through_dec_28 through_dec_31 exhibit friday st_pe)	38.687078
L1-1:global_warming not one like time people now climate_change because year just through how only even get world no think well work research day down here see students years most science today off com much free know make can life back	L2-1:not like people time one now because global_warming just get how even only think no well here year through students com free know make day see first back still why today org most school way work made going can life	L3-2:students through free people org school year one two children kids show team friday com saturday dollquant new schools http_www center tuesday play ohio game community thursday 2009 james see made sunday events high_school new_yor	L4-4:students through free org school people children kids com dollquant saturday show schools http_www center friday sunday open park road work www education holiday st_nw_202 high_school christmas competition team hope day music_midd	L5-7:through free org com dollquant saturday show http_www center friday sunday open park road www holiday st_nw_202 christmas team day music_midday_noon_jefferson_hotel_101 music art 10 7_pmtime children new_york 2 st tour work museum	L6-14:org com center dollquant saturday park road holiday www christmas day music_midday_noon_jefferson_hotel_101 music friday 7_pmtime children new_york sunday tour new today theater tuesday 2 7 212 3 concert tickets 1 5 santa house mo	L7-27:(org com center dollquant saturday park road holiday www christmas day music_midday_noon_jefferson_hotel_101 music friday 7_pmtime children new_york sunday tour new today theater tuesday 2 7 212 3 concert tickets 1 5 santa house mo)	52.301395
L1-1:global_warming not one like time people now climate_change because year just through how only even get world no think well work research day down here see students years most science today off com much free know make can life back	L2-1:not like people time one now because global_warming just get how even only think no well here year through students com free know make day see first back still why today org most school way work made going can life	L3-2:students through free people org school year one two children kids show team friday com saturday dollquant new schools http_www center tuesday play ohio game community thursday 2009 james see made sunday events high_school new_yor	L4-4:students through free org school people children kids com dollquant saturday show schools http_www center friday sunday open park road work www education holiday st_nw_202 high_school christmas competition team hope day music_midd	L5-8:students school people kids schools children education high_school hope school_district parents made teachers middle_school how learned class problems student learn age help get teacher travel issues like learning really older man	L6-15:(students school people kids schools children education high_school hope school_district parents made teachers middle_school how learned class problems student learn age help get teacher travel issues like learning really older man)	L7-29:(students school people kids schools children education high_school hope school_district parents made teachers middle_school how learned class problems student learn age help get teacher travel issues like learning really older man)	45.925692
L1-1:global_warming not one like time people now climate_change because year just through how only even get world no think well work research day down here see students years most science today off com much free know make can life back	L2-2:global_warming climate_change research science study report world scientists u_s winter trees snow warming earth year future along united_states area university not data weather temperatures years found forests areas down one such	L3-3:winter snow year along area weather down off cold minnesota one temperatures record sea_level_rise between rhode_island virginia through climate_change days warm near ocean areas 2008 oceans while waters moose average places north	L4-5:along area sea_level_rise rhode_island virginia off ocean down oceans waters places near island such sea between fish areas north_carolina through known coastal islands beach started parts c south_carolina wetlands marine_life thr	L5-9:sea_level_rise rhode_island off ocean oceans waters island along sea fish areas known coastal islands wetlands marine_life places found rising_sea_levels ship sea_level allows salmon fishing ships ecosystems experts_say activities	L6-17:(sea_level_rise rhode_island off ocean oceans waters island along sea fish areas known coastal islands wetlands marine_life places found rising_sea_levels ship sea_level allows salmon fishing ships ecosystems experts_say activities)	L7-33:(sea_level_rise rhode_island off ocean oceans waters island along sea fish areas known coastal islands wetlands marine_life places found rising_sea_levels ship sea_level allows salmon fishing ships ecosystems experts_say activities)	47.939377
L1-1:global_warming not one like time people now climate_change because year just through how only even get world no think well work research day down here see students years most science today off com much free know make can life back	L2-2:global_warming climate_change research science study report world scientists u_s winter trees snow warming earth year future along united_states area university not data weather temperatures years found forests areas down one such	L3-3:winter snow year along area weather down off cold minnesota one temperatures record sea_level_rise between rhode_island virginia through climate_change days warm near ocean areas 2008 oceans while waters moose average places north	L4-5:along area sea_level_rise rhode_island virginia off ocean down oceans waters places near island such sea between fish areas north_carolina through known coastal islands beach started parts c south_carolina wetlands marine_life thr	L5-10:virginia along down area near such between through started c north_carolina coast beach number 1 west one place south feet mountain north sites south_carolina west_virginia around b three larger places until built line pressure ac	L6-19:(virginia along down area near such between through started c north_carolina coast beach number 1 west one place south feet mountain north sites south_carolina west_virginia around b three larger places until built line pressure ac)	L7-37:(virginia along down area near such between through started c north_carolina coast beach number 1 west one place south feet mountain north sites south_carolina west_virginia around b three larger places until built line pressure ac)	50.307740
L1-1:global_warming not one like time people now climate_change because year just through how only even get world no think well work research day down here see students years most science today off com much free know make can life back	L2-2:global_warming climate_change research science study report world scientists u_s winter trees snow warming earth year future along united_states area university not data weather temperatures years found forests areas down one such	L3-3:winter snow year along area weather down off cold minnesota one temperatures record sea_level_rise between rhode_island virginia through climate_change days warm near ocean areas 2008 oceans while waters moose average places north	L4-6:winter snow year weather cold minnesota temperatures record days climate_change warm one 2008 while moose average january national_weather_service population not day week conditions month december spring quantpct see numbers say a	L5-11:minnesota climate_change one while moose population not quantpct see numbers say mark today big only down seeing already among come decline hunting deer northwest hunters mean might big_stone_ii point although just many off report	L6-21:(minnesota climate_change one while moose population not quantpct see numbers say mark today big only down seeing already among come decline hunting deer northwest hunters mean might big_stone_ii point although just many off report)	L7-41:(minnesota climate_change one while moose population not quantpct see numbers say mark today big only down seeing already among come decline hunting deer northwest hunters mean might big_stone_ii point although just many off report)	43.614891
L1-1:global_warming not one like time people now climate_change because year just through how only even get world no think well work research day down here see students years most science today off com much free know make can life back	L2-2:global_warming climate_change research science study report world scientists u_s winter trees snow warming earth year future along united_states area university not data weather temperatures years found forests areas down one such	L3-3:winter snow year along area weather down off cold minnesota one temperatures record sea_level_rise between rhode_island virginia through climate_change days warm near ocean areas 2008 oceans while waters moose average places north	L4-6:winter snow year weather cold minnesota temperatures record days climate_change warm one 2008 while moose average january national_weather_service population not day week conditions month december spring quantpct see numbers say a	L5-12:winter snow year weather cold record temperatures days warm 2008 average january national_weather_service day week conditions month december spring area normal above degrees forecast below_zero period below coldest temperature inc	L6-23:(winter snow year weather cold record temperatures days warm 2008 average january national_weather_service day week conditions month december spring area normal above degrees forecast below_zero period below coldest temperature inc)	L7-45:(winter snow year weather cold record temperatures days warm 2008 average january national_weather_service day week conditions month december spring area normal above degrees forecast below_zero period below coldest temperature inc)	61.727851
L1-1:global_warming not one like time people now climate_change because year just through how only even get world no think well work research day down here see students years most science today off com much free know make can life back	L2-2:global_warming climate_change research science study report world scientists u_s winter trees snow warming earth year future along united_states area university not data weather temperatures years found forests areas down one such	L3-4:global_warming climate_change research science study report world scientists u_s trees warming earth united_states university data future forests planet global_climate_change work ice years arctic effects found center impact noted	L4-7:climate_change global_warming study trees warming earth data forests scientists planet ice years arctic found tree changes effects because antarctica forest most climate ice_age researchers increased scientists_say increase findin	L5-13:global_warming climate_change earth warming planet scientists ice arctic found data antarctica ice_age study 2007 impact climate greenhouse_gases evidence ice_sheets intergovernmental_panel_climate_change melting scientists_say co	L6-25:(global_warming climate_change earth warming planet scientists ice arctic found data antarctica ice_age study 2007 impact climate greenhouse_gases evidence ice_sheets intergovernmental_panel_climate_change melting scientists_say co)	L7-49:(global_warming climate_change earth warming planet scientists ice arctic found data antarctica ice_age study 2007 impact climate greenhouse_gases evidence ice_sheets intergovernmental_panel_climate_change melting scientists_say co)	64.610821
L1-1:global_warming not one like time people now climate_change because year just through how only even get world no think well work research day down here see students years most science today off com much free know make can life back	L2-2:global_warming climate_change research science study report world scientists u_s winter trees snow warming earth year future along united_states area university not data weather temperatures years found forests areas down one such	L3-4:global_warming climate_change research science study report world scientists u_s trees warming earth united_states university data future forests planet global_climate_change work ice years arctic effects found center impact noted	L4-7:climate_change global_warming study trees warming earth data forests scientists planet ice years arctic found tree changes effects because antarctica forest most climate ice_age researchers increased scientists_say increase findin	L5-14:climate_change study trees forests tree because years forest increased increase logging such areas results global_warming forest_service rate effect data old_growth average change recent_years effects western changes less research	L6-27:(climate_change study trees forests tree because years forest increased increase logging such areas results global_warming forest_service rate effect data old_growth average change recent_years effects western changes less research)	L7-53:(climate_change study trees forests tree because years forest increased increase logging such areas results global_warming forest_service rate effect data old_growth average change recent_years effects western changes less research)	56.275933
L1-1:global_warming not one like time people now climate_change because year just through how only even get world no think well work research day down here see students years most science today off com much free know make can life back	L2-2:global_warming climate_change research science study report world scientists u_s winter trees snow warming earth year future along united_states area university not data weather temperatures years found forests areas down one such	L3-4:global_warming climate_change research science study report world scientists u_s trees warming earth united_states university data future forests planet global_climate_change work ice years arctic effects found center impact noted	L4-8:global_warming research science report world u_s united_states future university work global_climate_change center scientists science_technology unmapped_field_subs_0_equals_lookup unmapped_field_subs_1_equals_2 noted not college 	L5-15:global_warming report world u_s united_states future global_climate_change unmapped_field_subs_0_equals_lookup unmapped_field_subs_1_equals_2 not solutions al_gore noted challenge report_says problem time gore report_said unmapped	L6-29:(global_warming report world u_s united_states future global_climate_change unmapped_field_subs_0_equals_lookup unmapped_field_subs_1_equals_2 not solutions al_gore noted challenge report_says problem time gore report_said unmapped)	L7-57:(global_warming report world u_s united_states future global_climate_change unmapped_field_subs_0_equals_lookup unmapped_field_subs_1_equals_2 not solutions al_gore noted challenge report_says problem time gore report_said unmapped)	64.557350
L1-1:global_warming not one like time people now climate_change because year just through how only even get world no think well work research day down here see students years most science today off com much free know make can life back	L2-2:global_warming climate_change research science study report world scientists u_s winter trees snow warming earth year future along united_states area university not data weather temperatures years found forests areas down one such	L3-4:global_warming climate_change research science study report world scientists u_s trees warming earth united_states university data future forests planet global_climate_change work ice years arctic effects found center impact noted	L4-8:global_warming research science report world u_s united_states future university work global_climate_change center scientists science_technology unmapped_field_subs_0_equals_lookup unmapped_field_subs_1_equals_2 noted not college 	L5-16:research science university work center scientists science_technology college dr campus professor science_adviser institute desimone office funding stem_cell_research wvu national_oceanic_atmospheric_administration scientific prog	L6-31:(research science university work center scientists science_technology college dr campus professor science_adviser institute desimone office funding stem_cell_research wvu national_oceanic_atmospheric_administration scientific prog)	L7-61:(research science university work center scientists science_technology college dr campus professor science_adviser institute desimone office funding stem_cell_research wvu national_oceanic_atmospheric_administration scientific prog)	55.002988
L1-2:said climate_change state environmental_protection_agency new u_s united_states says states such energy would california while obama water economy washington global_warming because quantpct city plan project including use presiden	L2-3:climate_change state environmental_protection_agency u_s new united_states states would california obama energy washington such global_warming president president_elect_barack_obama bush_administration white_house environment gree	L3-5:climate_change state environmental_protection_agency united_states states would california new such u_s global_warming environment emissions carbon_dioxide mr greenhouse_gas_emissions greenhouse_gases however while even plan could	L4-9:state environmental_protection_agency states would california new could plan standards texas cars because issue auto_industry governor environmental_groups johnson regulations industry vehicles whether environmental_protection_age	L5-17:state environmental_protection_agency would states california could plan texas because issue governor environmental_groups johnson new whether environmental_protection_agencys jackson bill proposed pollution called environmental_p	L6-33:environmental_protection_agency environmental_groups johnson environmental_protection_agencys jackson pollution environmental_protection_agency_administrator regulations air air_pollution environment environmental_issues air_quali	L7-65:(environmental_protection_agency environmental_groups johnson environmental_protection_agencys jackson pollution environmental_protection_agency_administrator regulations air air_pollution environment environmental_issues air_quali)	72.150342
L1-2:said climate_change state environmental_protection_agency new u_s united_states says states such energy would california while obama water economy washington global_warming because quantpct city plan project including use presiden	L2-3:climate_change state environmental_protection_agency u_s new united_states states would california obama energy washington such global_warming president president_elect_barack_obama bush_administration white_house environment gree	L3-5:climate_change state environmental_protection_agency united_states states would california new such u_s global_warming environment emissions carbon_dioxide mr greenhouse_gas_emissions greenhouse_gases however while even plan could	L4-9:state environmental_protection_agency states would california new could plan standards texas cars because issue auto_industry governor environmental_groups johnson regulations industry vehicles whether environmental_protection_age	L5-17:state environmental_protection_agency would states california could plan texas because issue governor environmental_groups johnson new whether environmental_protection_agencys jackson bill proposed pollution called environmental_p	L6-34:state would states california could plan texas because governor whether issue bill proposed called proposal economy however governor_arnold_schwarzenegger example legislature would_like proposals part though saying would_require b	L7-67:state states california plan governor economy governor_arnold_schwarzenegger legislature budget new including governors costs another schwarzenegger issue business made state_university adopted bill plans sacramento ab_32 californ	67.184839
L1-2:said climate_change state environmental_protection_agency new u_s united_states says states such energy would california while obama water economy washington global_warming because quantpct city plan project including use presiden	L2-3:climate_change state environmental_protection_agency u_s new united_states states would california obama energy washington such global_warming president president_elect_barack_obama bush_administration white_house environment gree	L3-5:climate_change state environmental_protection_agency united_states states would california new such u_s global_warming environment emissions carbon_dioxide mr greenhouse_gas_emissions greenhouse_gases however while even plan could	L4-9:state environmental_protection_agency states would california new could plan standards texas cars because issue auto_industry governor environmental_groups johnson regulations industry vehicles whether environmental_protection_age	L5-17:state environmental_protection_agency would states california could plan texas because issue governor environmental_groups johnson new whether environmental_protection_agencys jackson bill proposed pollution called environmental_p	L6-34:state would states california could plan texas because governor whether issue bill proposed called proposal economy however governor_arnold_schwarzenegger example legislature would_like proposals part though saying would_require b	L7-68:would could texas because whether proposed called proposal however example would_like issue part though saying would_require bill u_s austin against would_not proposals support would_allow perry idea likely told cost would_make de	62.868381
L1-2:said climate_change state environmental_protection_agency new u_s united_states says states such energy would california while obama water economy washington global_warming because quantpct city plan project including use presiden	L2-3:climate_change state environmental_protection_agency u_s new united_states states would california obama energy washington such global_warming president president_elect_barack_obama bush_administration white_house environment gree	L3-5:climate_change state environmental_protection_agency united_states states would california new such u_s global_warming environment emissions carbon_dioxide mr greenhouse_gas_emissions greenhouse_gases however while even plan could	L4-9:state environmental_protection_agency states would california new could plan standards texas cars because issue auto_industry governor environmental_groups johnson regulations industry vehicles whether environmental_protection_age	L5-18:california states cars standards auto_industry vehicles federal_government new automakers car congress fuel_efficiency industry rules emissions washington detroit waiver cars_trucks meet reduce_greenhouse_gas_emissions 2007 bush_a	L6-35:(california states cars standards auto_industry vehicles federal_government new automakers car congress fuel_efficiency industry rules emissions washington detroit waiver cars_trucks meet reduce_greenhouse_gas_emissions 2007 bush_a)	L7-69:(california states cars standards auto_industry vehicles federal_government new automakers car congress fuel_efficiency industry rules emissions washington detroit waiver cars_trucks meet reduce_greenhouse_gas_emissions 2007 bush_a)	87.087050
L1-2:said climate_change state environmental_protection_agency new u_s united_states says states such energy would california while obama water economy washington global_warming because quantpct city plan project including use presiden	L2-3:climate_change state environmental_protection_agency u_s new united_states states would california obama energy washington such global_warming president president_elect_barack_obama bush_administration white_house environment gree	L3-5:climate_change state environmental_protection_agency united_states states would california new such u_s global_warming environment emissions carbon_dioxide mr greenhouse_gas_emissions greenhouse_gases however while even plan could	L4-10:climate_change united_states such global_warming u_s carbon_dioxide mr greenhouse_gas_emissions while even environment emissions greenhouse_gases need cap_trade_system may however many carbon_emissions new both should countries go	L5-19:such while even may however many both should need needs must important government point own number not approach example whether among far rather fact way become control indeed needed current policies recent_years resources even_th	L6-37:such should need needs must important government not approach example while however needed current policies resources problems action include benefit certain clear challenges encourage order benefits public present ensure improve 	L7-73:(such should need needs must important government not approach example while however needed current policies resources problems action include benefit certain clear challenges encourage order benefits public present ensure improve )	60.105732
L1-2:said climate_change state environmental_protection_agency new u_s united_states says states such energy would california while obama water economy washington global_warming because quantpct city plan project including use presiden	L2-3:climate_change state environmental_protection_agency u_s new united_states states would california obama energy washington such global_warming president president_elect_barack_obama bush_administration white_house environment gree	L3-5:climate_change state environmental_protection_agency united_states states would california new such u_s global_warming environment emissions carbon_dioxide mr greenhouse_gas_emissions greenhouse_gases however while even plan could	L4-10:climate_change united_states such global_warming u_s carbon_dioxide mr greenhouse_gas_emissions while even environment emissions greenhouse_gases need cap_trade_system may however many carbon_emissions new both should countries go	L5-19:such while even may however many both should need needs must important government point own number not approach example whether among far rather fact way become control indeed needed current policies recent_years resources even_th	L6-38:even may many while both point such however own number whether among far way become control indeed recent_years even_though toward itself behind concern once already debate instance often decades last_week last_year well difficult	L7-75:(even may many while both point such however own number whether among far way become control indeed recent_years even_though toward itself behind concern once already debate instance often decades last_week last_year well difficult)	54.158007
L1-2:said climate_change state environmental_protection_agency new u_s united_states says states such energy would california while obama water economy washington global_warming because quantpct city plan project including use presiden	L2-3:climate_change state environmental_protection_agency u_s new united_states states would california obama energy washington such global_warming president president_elect_barack_obama bush_administration white_house environment gree	L3-5:climate_change state environmental_protection_agency united_states states would california new such u_s global_warming environment emissions carbon_dioxide mr greenhouse_gas_emissions greenhouse_gases however while even plan could	L4-10:climate_change united_states such global_warming u_s carbon_dioxide mr greenhouse_gas_emissions while even environment emissions greenhouse_gases need cap_trade_system may however many carbon_emissions new both should countries go	L5-20:climate_change united_states global_warming u_s carbon_dioxide mr greenhouse_gas_emissions environment emissions greenhouse_gases cap_trade_system carbon_emissions new countries carbon_dioxide_emissions meeting called internationa	L6-39:carbon_dioxide greenhouse_gas_emissions emissions greenhouse_gases cap_trade_system carbon_emissions carbon_dioxide_emissions carbon_footprint market companies cap_trade_program carbon quantpct reduce_greenhouse_gas_emissions syst	L7-77:(carbon_dioxide greenhouse_gas_emissions emissions greenhouse_gases cap_trade_system carbon_emissions carbon_dioxide_emissions carbon_footprint market companies cap_trade_program carbon quantpct reduce_greenhouse_gas_emissions syst)	73.533864
