columnID	columnName
21	thursday two tuesday yesterday called police year airport reported friday outside off involved took charges against known told associated_press later left since charged found case court hospital office soon official death down fell march made judge j
22	said added said_statement director going others asked said_david said_john spokeswoman working although think said_interview believes contact_rex_springston_804_649_6453 plans executive_director said_tuesday contributed_report said_tom officials over
23	global_warming report world u_s united_states future global_climate_change unmapped_field_subs_0_equals_lookup unmapped_field_subs_1_equals_2 not solutions al_gore noted challenge report_says problem time gore report_said unmapped_field_subs_2_equals
24	energy energy_efficiency energy_independence energy_policy new energy_efficient chu nobel_prize_winning_physicist_steven_chu energy_use energy_costs energy_secretary energy_department energy_climate_change energy_environment chu_director_lawrence_ber
25	history country war believe people world america editor why article left true others column wrong evolution iraq right american ones not lost americans re regarding rather great letters_editor poor writer church editorial god upon government life agr
26	white_house bush_administration administration office bush former policy president_elect_barack_obama president job washington head role issues top wednesday asked clinton salazar director policies bushs u_s against political white_house_council_envi
27	not money people support no problem pay why should same without yet times benefits responsible stop taxes case continue same_time huge israel not_only work actions ask one real workers blame taxpayers unfortunately failed opinion certainly citizens p
28	environmental_protection_agency environmental_groups johnson environmental_protection_agencys jackson pollution environmental_protection_agency_administrator regulations air air_pollution environment environmental_issues air_quality decision environm
29	plant company use waste plants process used production facility 2007 performance_track fuel produce according landfill because ethanol garbage quantpct last_year still corn test including costs last_week operations methane companies landfills half ma
30	time only again even off much see first use years change especially long_term start end too no year come despite list think used means last_year just less wont long get making running worry although instead though wrote turn words next_year
31	says florida say one not still because now like such another many only way much most even how biomass might ground gets wood no strong tampa makes idea smith start under could biggest while given advocates wants others without once
32	research science university work center scientists science_technology college dr campus professor science_adviser institute desimone office funding stem_cell_research wvu national_oceanic_atmospheric_administration scientific program centers_disease_
33	global_warming s com one man story book how week read media news david talk writes fact called believe stories wrote books show online man_made shows most popular t readers actually causes find following internet reading host serious how_much little 
34	city project local county transportation cities service citys community mayor plans new local_governments council time citizens transit city_council city_hall downtown leaders building train board transportation_system existing housing road contract 
35	like now how today time better means much look most around part something every how_much comes make idea opportunity place thinking kind challenge few question solution whose each having well possible without around_world each_year within great toget
36	carbon_dioxide greenhouse_gas_emissions emissions greenhouse_gases cap_trade_system carbon_emissions carbon_dioxide_emissions carbon_footprint market companies cap_trade_program carbon quantpct reduce_greenhouse_gas_emissions system co2 greenhouse_ga
37	because get going make think now can not right way want know hope just should good too getting need right_now bad instead either course keep see why fact only anything let mean big lot back please government tell doing giving
38	economy dollquant_million dollquant_billion jobs money quantpct dollquant investment investments including tax projects funding spending recession fund 2009 growth programs funds businesses financial_crisis tax_cuts based credit workers employees 200
39	obama president obama_said president_elect_barack_obama america obama_administration nation americans washington change barack_obama economy inauguration new obamas issues country campaign today washington_d_c warren hope political health_care moment
40	climate_change study trees forests tree because years forest increased increase logging such areas results global_warming forest_service rate effect data old_growth average change recent_years effects western changes less researchers particularly fir
41	congress washington committee senate bill republicans democrats house d vote support waxman house_speaker_nancy_pelosi republican health_care r capitol_hill issues legislation party chairman democrat lawmakers dingell democratic senators gop rep_henr
42	students school people kids schools children education high_school hope school_district parents made teachers middle_school how learned class problems student learn age help get teacher travel issues like learning really older many competition experi
43	even may many while both point such however own number whether among far way become control indeed recent_years even_though toward itself behind concern once already debate instance often decades last_week last_year well difficult fact politicians ra
44	would could texas because whether proposed called proposal however example would_like issue part though saying would_require bill u_s austin against would_not proposals support would_allow perry idea likely told cost would_make details several might 
45	san_francisco now well while bay_area work san_jose way residents oakland not here most driving one 2008 san_diego many san_antonio working given another big say since bay expect can san_mateo short reach san vallejo facing both valley high los_angel
46	water county land development region future area river plan communities land_use system portland areas management task_force residents town planning water_supply regional growth conservation local oregon water_quality countys wells site developers la
47	green renewable_energy solar_panels power technology green_jobs system energy systems electricity solar company solar_power business wind_power electric_cars use wind wind_farms wind_turbines green_economy sun goal companies green_collar_jobs renewab
48	like day here love made family maybe movie yes always film hands one thing things life ever around happy place little old sure say side try earth night something christmas good get give joe mother hear ok dog favorite know
49	food farmers page agriculture farm crops well idea meat such alabama farms plants can soil garden livestock animals grow production eat eating calls made vilsack cow_tax themselves issue kansas instead use farmers_ranchers farming even cause fees gen
50	climate_change environment global_warming new meeting climate focus called policy goals including next_year make conference need strategy recommendations action meet meetings address major initiatives commitment next_week set address_climate_change d
