Level1	Level2	Level3	Level4	Level5	Level6	2013
L1-1:evolution next_generation_sequencing population_genetics speciation species gene_flow phylogeography natural_selection gene_expression phylogenetics molecular_evolution species_delimitation model phylogeny diversification using ev	L2-1:evolution speciation phylogenetics molecular_evolution model phylogeny diversification evolutionary behavior biogeography new analysis horizontal_gene_transfer genes trait_evolution plant phylogenomics bayesian_inference tree_life	L3-2:molecular_evolution evolution behavior genes trait_evolution plant comparative_methods geometric_morphometrics variation body_size cryptic_species floral how traits macroevolution phylogenetic_comparative_methods phylogenetic_infe	L4-4:molecular_evolution genes trait_evolution variation cryptic_species phylogenetic_comparative_methods phylogenetic_inference sequence phylogenetic_signal phylogenetic macroevolution molecular protein phylogenetic_relationships syst	L5-7:molecular_evolution genes molecular protein genomes like molecular_phylogeny defense molecular_analysis molecular_basis molecular_morphological molecular_phylogenetics regulatory_evolution molecular_analysis_speciation molecular_g	L6-13:(molecular_evolution genes molecular protein genomes like molecular_phylogeny defense molecular_analysis molecular_basis molecular_morphological molecular_phylogenetics regulatory_evolution molecular_analysis_speciation molecular_g)	25.668310
L1-1:evolution next_generation_sequencing population_genetics speciation species gene_flow phylogeography natural_selection gene_expression phylogenetics molecular_evolution species_delimitation model phylogeny diversification using ev	L2-1:evolution speciation phylogenetics molecular_evolution model phylogeny diversification evolutionary behavior biogeography new analysis horizontal_gene_transfer genes trait_evolution plant phylogenomics bayesian_inference tree_life	L3-2:molecular_evolution evolution behavior genes trait_evolution plant comparative_methods geometric_morphometrics variation body_size cryptic_species floral how traits macroevolution phylogenetic_comparative_methods phylogenetic_infe	L4-4:molecular_evolution genes trait_evolution variation cryptic_species phylogenetic_comparative_methods phylogenetic_inference sequence phylogenetic_signal phylogenetic macroevolution molecular protein phylogenetic_relationships syst	L5-8:trait_evolution variation cryptic_species phylogenetic_comparative_methods phylogenetic_inference sequence phylogenetic_signal phylogenetic macroevolution phylogenetic_relationships systematics two function using taxonomy black cr	L6-15:variation cryptic_species sequence systematics two function taxonomy black cryptic_diversity cryptic_speciation cryptic_variation extreme_environments fruit signal convergence nuclear_loci cryptic_cryptic_diversity family converge	23.358537
L1-1:evolution next_generation_sequencing population_genetics speciation species gene_flow phylogeography natural_selection gene_expression phylogenetics molecular_evolution species_delimitation model phylogeny diversification using ev	L2-1:evolution speciation phylogenetics molecular_evolution model phylogeny diversification evolutionary behavior biogeography new analysis horizontal_gene_transfer genes trait_evolution plant phylogenomics bayesian_inference tree_life	L3-2:molecular_evolution evolution behavior genes trait_evolution plant comparative_methods geometric_morphometrics variation body_size cryptic_species floral how traits macroevolution phylogenetic_comparative_methods phylogenetic_infe	L4-4:molecular_evolution genes trait_evolution variation cryptic_species phylogenetic_comparative_methods phylogenetic_inference sequence phylogenetic_signal phylogenetic macroevolution molecular protein phylogenetic_relationships syst	L5-8:trait_evolution variation cryptic_species phylogenetic_comparative_methods phylogenetic_inference sequence phylogenetic_signal phylogenetic macroevolution phylogenetic_relationships systematics two function using taxonomy black cr	L6-16:trait_evolution phylogenetic_comparative_methods phylogenetic_inference phylogenetic_signal phylogenetic macroevolution phylogenetic_relationships using phylogenetic_analysis trait_life_history_qtl_ecological_genomics microbial_ec	27.441333
L1-1:evolution next_generation_sequencing population_genetics speciation species gene_flow phylogeography natural_selection gene_expression phylogenetics molecular_evolution species_delimitation model phylogeny diversification using ev	L2-2:next_generation_sequencing population_genetics gene_flow species phylogeography natural_selection gene_expression species_delimitation data population_structure using population_genomics across gene diversity dna complex mimulus g	L3-3:next_generation_sequencing population_genetics phylogeography data population_structure using population_genomics dna coalescent mimulus fish population rad_seq whole_genome wild approach south lizards population_genetic_structure	L4-5:population_genetics phylogeography population_structure population_genomics population fish south lizards population_genetic_structure testing snp population_dynamics american genotyping_sequencing population_genetic population_si	L5-9:population_genetics fish population_genomics population_structure south snp american genotyping_sequencing age population american_freshwater_fishes american_fruit resistance american_black genetics population_differentiation popu	L6-17:(population_genetics fish population_genomics population_structure south snp american genotyping_sequencing age population american_freshwater_fishes american_fruit resistance american_black genetics population_differentiation popu)	23.104917
L1-1:evolution next_generation_sequencing population_genetics speciation species gene_flow phylogeography natural_selection gene_expression phylogenetics molecular_evolution species_delimitation model phylogeny diversification using ev	L2-2:next_generation_sequencing population_genetics gene_flow species phylogeography natural_selection gene_expression species_delimitation data population_structure using population_genomics across gene diversity dna complex mimulus g	L3-3:next_generation_sequencing population_genetics phylogeography data population_structure using population_genomics dna coalescent mimulus fish population rad_seq whole_genome wild approach south lizards population_genetic_structure	L4-5:population_genetics phylogeography population_structure population_genomics population fish south lizards population_genetic_structure testing snp population_dynamics american genotyping_sequencing population_genetic population_si	L5-10:population_genetics phylogeography population_structure population_genomics lizards population_genetic_structure testing population speciation liolaemus bacterial conservation_genetics population_dynamics population_size fishes mo	L6-19:population_genetics population_structure population_genomics population_genetic_structure population bacterial population_dynamics population_size modeling salamander population_genetic inference microsatellites different nuclear_	29.383125
L1-1:evolution next_generation_sequencing population_genetics speciation species gene_flow phylogeography natural_selection gene_expression phylogenetics molecular_evolution species_delimitation model phylogeny diversification using ev	L2-2:next_generation_sequencing population_genetics gene_flow species phylogeography natural_selection gene_expression species_delimitation data population_structure using population_genomics across gene diversity dna complex mimulus g	L3-3:next_generation_sequencing population_genetics phylogeography data population_structure using population_genomics dna coalescent mimulus fish population rad_seq whole_genome wild approach south lizards population_genetic_structure	L4-5:population_genetics phylogeography population_structure population_genomics population fish south lizards population_genetic_structure testing snp population_dynamics american genotyping_sequencing population_genetic population_si	L5-10:population_genetics phylogeography population_structure population_genomics lizards population_genetic_structure testing population speciation liolaemus bacterial conservation_genetics population_dynamics population_size fishes mo	L6-20:phylogeography lizards testing speciation liolaemus conservation_genetics fishes expansion conservation conservation_genomics differentiation islands balancing_selection conservation_regulatory conservation_salamander liolaemus_li	21.293738
L1-1:evolution next_generation_sequencing population_genetics speciation species gene_flow phylogeography natural_selection gene_expression phylogenetics molecular_evolution species_delimitation model phylogeny diversification using ev	L2-2:next_generation_sequencing population_genetics gene_flow species phylogeography natural_selection gene_expression species_delimitation data population_structure using population_genomics across gene diversity dna complex mimulus g	L3-3:next_generation_sequencing population_genetics phylogeography data population_structure using population_genomics dna coalescent mimulus fish population rad_seq whole_genome wild approach south lizards population_genetic_structure	L4-6:next_generation_sequencing data using dna coalescent mimulus rad_seq whole_genome wild approach scale niche community_assembly populations rad sunflower environments use geographic_range impact mapping next_generation patterns geo	L5-11:next_generation_sequencing data dna coalescent rad_seq whole_genome wild approach scale populations rad sunflower environments use mapping next_generation whole_genome_phylogeny wild_sunflower assembly conservation next_generation	L6-21:next_generation_sequencing whole_genome wild approach sunflower mapping next_generation whole_genome_phylogeny wild_sunflower assembly conservation next_generation_sequencing_genotyping_sequencing next_generation_ancestral_polymor	27.718070
L1-1:evolution next_generation_sequencing population_genetics speciation species gene_flow phylogeography natural_selection gene_expression phylogenetics molecular_evolution species_delimitation model phylogeny diversification using ev	L2-2:next_generation_sequencing population_genetics gene_flow species phylogeography natural_selection gene_expression species_delimitation data population_structure using population_genomics across gene diversity dna complex mimulus g	L3-3:next_generation_sequencing population_genetics phylogeography data population_structure using population_genomics dna coalescent mimulus fish population rad_seq whole_genome wild approach south lizards population_genetic_structure	L4-6:next_generation_sequencing data using dna coalescent mimulus rad_seq whole_genome wild approach scale niche community_assembly populations rad sunflower environments use geographic_range impact mapping next_generation patterns geo	L5-11:next_generation_sequencing data dna coalescent rad_seq whole_genome wild approach scale populations rad sunflower environments use mapping next_generation whole_genome_phylogeny wild_sunflower assembly conservation next_generation	L6-22:data dna coalescent rad_seq scale populations rad environments use color_polymorphism rad_sequencing mitochondrial_genome_assembly mitochondrial_nuclear_co environments_daphnia fish mitochondrial_genome mitochondrial_genomes color	21.987231
L1-1:evolution next_generation_sequencing population_genetics speciation species gene_flow phylogeography natural_selection gene_expression phylogenetics molecular_evolution species_delimitation model phylogeny diversification using ev	L2-2:next_generation_sequencing population_genetics gene_flow species phylogeography natural_selection gene_expression species_delimitation data population_structure using population_genomics across gene diversity dna complex mimulus g	L3-3:next_generation_sequencing population_genetics phylogeography data population_structure using population_genomics dna coalescent mimulus fish population rad_seq whole_genome wild approach south lizards population_genetic_structure	L4-6:next_generation_sequencing data using dna coalescent mimulus rad_seq whole_genome wild approach scale niche community_assembly populations rad sunflower environments use geographic_range impact mapping next_generation patterns geo	L5-12:using mimulus niche community_assembly geographic_range impact patterns data geographic_distribution geographic_variation niche_evolution phylogeographic multiple geographic_distance novelty using_microsatellites using_next_genera	L6-23:(using mimulus niche community_assembly geographic_range impact patterns data geographic_distribution geographic_variation niche_evolution phylogeographic multiple geographic_distance novelty using_microsatellites using_next_genera)	23.894689
L1-1:evolution next_generation_sequencing population_genetics speciation species gene_flow phylogeography natural_selection gene_expression phylogenetics molecular_evolution species_delimitation model phylogeny diversification using ev	L2-2:next_generation_sequencing population_genetics gene_flow species phylogeography natural_selection gene_expression species_delimitation data population_structure using population_genomics across gene diversity dna complex mimulus g	L3-4:gene_flow species natural_selection gene_expression species_delimitation across gene diversity complex gene_duplication marine species_tree heat_stress symbiosis recombination transcriptome theory biology likelihood reproduction g	L4-7:species natural_selection species_delimitation complex species_tree heat_stress symbiosis transcriptome theory likelihood genus aphid species_trees teaching study system isolation_distance microbial_ecology natural_populations spe	L5-13:heat_stress symbiosis aphid study system isolation_distance symbiont systematics ancestral_state_reconstruction coral_reef_fishes method among elements shape coral coral_symbiosis coral_whole_transcriptome_sequencing environments 	L6-25:(heat_stress symbiosis aphid study system isolation_distance symbiont systematics ancestral_state_reconstruction coral_reef_fishes method among elements shape coral coral_symbiosis coral_whole_transcriptome_sequencing environments )	22.898645
L1-1:evolution next_generation_sequencing population_genetics speciation species gene_flow phylogeography natural_selection gene_expression phylogenetics molecular_evolution species_delimitation model phylogeny diversification using ev	L2-2:next_generation_sequencing population_genetics gene_flow species phylogeography natural_selection gene_expression species_delimitation data population_structure using population_genomics across gene diversity dna complex mimulus g	L3-4:gene_flow species natural_selection gene_expression species_delimitation across gene diversity complex gene_duplication marine species_tree heat_stress symbiosis recombination transcriptome theory biology likelihood reproduction g	L4-7:species natural_selection species_delimitation complex species_tree heat_stress symbiosis transcriptome theory likelihood genus aphid species_trees teaching study system isolation_distance microbial_ecology natural_populations spe	L5-14:species natural_selection species_delimitation complex species_tree transcriptome theory likelihood genus species_trees teaching microbial_ecology natural_populations species_interactions analyses predator natural_history species_	L6-27:natural_selection complex transcriptome species theory genus species_delimitation teaching natural_populations natural_history transcriptome_analysis transcriptome_genotyping_sequencing dependent_bacterial natural_variation specie	30.491845
L1-1:evolution next_generation_sequencing population_genetics speciation species gene_flow phylogeography natural_selection gene_expression phylogenetics molecular_evolution species_delimitation model phylogeny diversification using ev	L2-2:next_generation_sequencing population_genetics gene_flow species phylogeography natural_selection gene_expression species_delimitation data population_structure using population_genomics across gene diversity dna complex mimulus g	L3-4:gene_flow species natural_selection gene_expression species_delimitation across gene diversity complex gene_duplication marine species_tree heat_stress symbiosis recombination transcriptome theory biology likelihood reproduction g	L4-7:species natural_selection species_delimitation complex species_tree heat_stress symbiosis transcriptome theory likelihood genus aphid species_trees teaching study system isolation_distance microbial_ecology natural_populations spe	L5-14:species natural_selection species_delimitation complex species_tree transcriptome theory likelihood genus species_trees teaching microbial_ecology natural_populations species_interactions analyses predator natural_history species_	L6-28:species species_delimitation species_tree likelihood species_trees microbial_ecology species_interactions analyses predator microbial reveals species_complex species_tree_species_delimitation effect species_tree_estimation species	27.128905
L1-1:evolution next_generation_sequencing population_genetics speciation species gene_flow phylogeography natural_selection gene_expression phylogenetics molecular_evolution species_delimitation model phylogeny diversification using ev	L2-2:next_generation_sequencing population_genetics gene_flow species phylogeography natural_selection gene_expression species_delimitation data population_structure using population_genomics across gene diversity dna complex mimulus g	L3-4:gene_flow species natural_selection gene_expression species_delimitation across gene diversity complex gene_duplication marine species_tree heat_stress symbiosis recombination transcriptome theory biology likelihood reproduction g	L4-8:gene_flow gene_expression across gene diversity gene_duplication marine recombination biology reproduction gene_tree gene_family reef_fishes diversity_dynamics gene_regulatory_network gene_transfer gene_trees lineage marine_fish s	L5-15:gene_flow gene_expression gene gene_duplication biology gene_tree gene_family gene_regulatory_network gene_transfer gene_trees specific gene_function gene_regulatory_networks balancing_selection duplication gene_daphnia gene_evolu	L6-29:(gene_flow gene_expression gene gene_duplication biology gene_tree gene_family gene_regulatory_network gene_transfer gene_trees specific gene_function gene_regulatory_networks balancing_selection duplication gene_daphnia gene_evolu)	34.071172
L1-1:evolution next_generation_sequencing population_genetics speciation species gene_flow phylogeography natural_selection gene_expression phylogenetics molecular_evolution species_delimitation model phylogeny diversification using ev	L2-2:next_generation_sequencing population_genetics gene_flow species phylogeography natural_selection gene_expression species_delimitation data population_structure using population_genomics across gene diversity dna complex mimulus g	L3-4:gene_flow species natural_selection gene_expression species_delimitation across gene diversity complex gene_duplication marine species_tree heat_stress symbiosis recombination transcriptome theory biology likelihood reproduction g	L4-8:gene_flow gene_expression across gene diversity gene_duplication marine recombination biology reproduction gene_tree gene_family reef_fishes diversity_dynamics gene_regulatory_network gene_transfer gene_trees lineage marine_fish s	L5-16:across diversity marine recombination reproduction reef_fishes diversity_dynamics lineage marine_fish science_education variation diversity_population_differentiation diversity_polyploidy environments marine_biodiversity reef reef	L6-31:(across diversity marine recombination reproduction reef_fishes diversity_dynamics lineage marine_fish science_education variation diversity_population_differentiation diversity_polyploidy environments marine_biodiversity reef reef)	23.407368
L1-2:adaptation evolution selection phenotypic_plasticity life_history sexual_selection reproductive_isolation local_adaptation experimental_evolution genetic_variation climate_change genomics mate_choice fitness genetic hybridization 	L2-3:adaptation evolution local_adaptation experimental_evolution climate_change genomics genetic_variation variation divergence coevolution genome patterns ecology adaptive_radiation ecological_speciation genetic non introgression ada	L3-5:evolution experimental_evolution coevolution genome ecology introgression within genome_wide interactions transposable_elements history between host genome_wide_association migration patterns disease genome_evolution host_shifts m	L4-9:evolution experimental_evolution coevolution within between host host_shifts mutualism network insect host_pathogen_interactions parasite among gut host_parasite natural_selection origin character coli host_parasite_interaction vi	L5-17:coevolution within between host host_shifts mutualism network insect host_pathogen_interactions parasite among gut host_parasite origin host_parasite_interaction virus exploring host_use between_two insect_bacteria_symbiosis insec	L6-33:coevolution between mutualism network insect origin virus between_two insect_bacteria_symbiosis sea_level structured_populations conflict between_wild coevolution_host_parasite_interaction coevolution_mutualism identification phen	25.957693
L1-2:adaptation evolution selection phenotypic_plasticity life_history sexual_selection reproductive_isolation local_adaptation experimental_evolution genetic_variation climate_change genomics mate_choice fitness genetic hybridization 	L2-3:adaptation evolution local_adaptation experimental_evolution climate_change genomics genetic_variation variation divergence coevolution genome patterns ecology adaptive_radiation ecological_speciation genetic non introgression ada	L3-5:evolution experimental_evolution coevolution genome ecology introgression within genome_wide interactions transposable_elements history between host genome_wide_association migration patterns disease genome_evolution host_shifts m	L4-9:evolution experimental_evolution coevolution within between host host_shifts mutualism network insect host_pathogen_interactions parasite among gut host_parasite natural_selection origin character coli host_parasite_interaction vi	L5-17:coevolution within between host host_shifts mutualism network insect host_pathogen_interactions parasite among gut host_parasite origin host_parasite_interaction virus exploring host_use between_two insect_bacteria_symbiosis insec	L6-34:within host host_shifts host_pathogen_interactions parasite among gut host_parasite host_parasite_interaction exploring host_use insects pathogen gut_symbiont host_community_novel_host level trade_offs host_parasite_predator host_	24.030791
L1-2:adaptation evolution selection phenotypic_plasticity life_history sexual_selection reproductive_isolation local_adaptation experimental_evolution genetic_variation climate_change genomics mate_choice fitness genetic hybridization 	L2-3:adaptation evolution local_adaptation experimental_evolution climate_change genomics genetic_variation variation divergence coevolution genome patterns ecology adaptive_radiation ecological_speciation genetic non introgression ada	L3-5:evolution experimental_evolution coevolution genome ecology introgression within genome_wide interactions transposable_elements history between host genome_wide_association migration patterns disease genome_evolution host_shifts m	L4-9:evolution experimental_evolution coevolution within between host host_shifts mutualism network insect host_pathogen_interactions parasite among gut host_parasite natural_selection origin character coli host_parasite_interaction vi	L5-18:evolution experimental_evolution natural_selection character coli novel experimental_test colonization common experimental bacteria novel_nuclear protein specialization bacteria_co experimental_coevolution experimental_fly natural	L6-35:(evolution experimental_evolution natural_selection character coli novel experimental_test colonization common experimental bacteria novel_nuclear protein specialization bacteria_co experimental_coevolution experimental_fly natural)	28.262630
L1-2:adaptation evolution selection phenotypic_plasticity life_history sexual_selection reproductive_isolation local_adaptation experimental_evolution genetic_variation climate_change genomics mate_choice fitness genetic hybridization 	L2-3:adaptation evolution local_adaptation experimental_evolution climate_change genomics genetic_variation variation divergence coevolution genome patterns ecology adaptive_radiation ecological_speciation genetic non introgression ada	L3-5:evolution experimental_evolution coevolution genome ecology introgression within genome_wide interactions transposable_elements history between host genome_wide_association migration patterns disease genome_evolution host_shifts m	L4-10:evolution genome ecology introgression genome_wide interactions transposable_elements history genome_wide_association migration patterns disease genome_evolution methods phenotypic_plasticity social co genome_assembly size social_	L5-19:genome introgression genome_wide interactions transposable_elements history genome_wide_association migration patterns genome_evolution methods phenotypic_plasticity genome_assembly co genome_wide_association_study genetics genome	L6-37:introgression history migration patterns methods phenotypic_plasticity co genetics landscape_genetics resource_allocation differentiation phenotypic resource landscape landscape_adaptive_landscape_coevolution landscape_genomics pa	19.982845
