topicID	topic	Level1	Words1	Level2	Words2	Level3	Words3	Level4	Words4	Level5	Words5	Level6	Words6
10	molecular_evolution genes molecular protein genomes like molecular_phylogeny defense molecular_analysis molecular_basis molecular_morphological molecular_phylogenetics regulatory_evolution molecular_analysis_speciation molecular_genetic_basis molecular_morphological_fossil molecular_identification regulatory_elements regulatory_gene spatial_temporal can regulatory across adaptation adaptive adaptive_animal adaptive_divergence adaptive_diversification adaptive_dynamics adaptive_evolution adaptive_genomics adaptive_landscape adaptive_landscape_ecological_speciation adaptive_landscape_population_genomics adaptive_mutations adaptive_radiation adaptive_shifts age american american_black	1	evolution next_generation_sequencing population_genetics speciation species gene_flow phylogeography natural_selection gene_expression phylogenetics molecular_evolution species_delimitation model phylogeny diversification using ev	1	evolution speciation phylogenetics molecular_evolution model phylogeny diversification evolutionary behavior biogeography new analysis horizontal_gene_transfer genes trait_evolution plant phylogenomics bayesian_inference tree_life	2	molecular_evolution evolution behavior genes trait_evolution plant comparative_methods geometric_morphometrics variation body_size cryptic_species floral how traits macroevolution phylogenetic_comparative_methods phylogenetic_infe	4	molecular_evolution genes trait_evolution variation cryptic_species phylogenetic_comparative_methods phylogenetic_inference sequence phylogenetic_signal phylogenetic macroevolution molecular protein phylogenetic_relationships syst	7	molecular_evolution genes molecular protein genomes like molecular_phylogeny defense molecular_analysis molecular_basis molecular_morphological molecular_phylogenetics regulatory_evolution molecular_analysis_speciation molecular_g	13	(same)
1	variation cryptic_species sequence systematics two function taxonomy black cryptic_diversity cryptic_speciation cryptic_variation extreme_environments fruit signal convergence nuclear_loci cryptic_cryptic_diversity family convergence_diversification cryptic_divergence extreme extreme_divergent extreme_environmental relationships_signatures sequence_evolution speciation sympatric_speciation bacteria cryptic nuclear relationships across adaptation adaptive adaptive_animal adaptive_divergence adaptive_diversification adaptive_dynamics adaptive_evolution adaptive_genomics	1	evolution next_generation_sequencing population_genetics speciation species gene_flow phylogeography natural_selection gene_expression phylogenetics molecular_evolution species_delimitation model phylogeny diversification using ev	1	evolution speciation phylogenetics molecular_evolution model phylogeny diversification evolutionary behavior biogeography new analysis horizontal_gene_transfer genes trait_evolution plant phylogenomics bayesian_inference tree_life	2	molecular_evolution evolution behavior genes trait_evolution plant comparative_methods geometric_morphometrics variation body_size cryptic_species floral how traits macroevolution phylogenetic_comparative_methods phylogenetic_infe	4	molecular_evolution genes trait_evolution variation cryptic_species phylogenetic_comparative_methods phylogenetic_inference sequence phylogenetic_signal phylogenetic macroevolution molecular protein phylogenetic_relationships syst	8	trait_evolution variation cryptic_species phylogenetic_comparative_methods phylogenetic_inference sequence phylogenetic_signal phylogenetic macroevolution phylogenetic_relationships systematics two function using taxonomy black cr	15	variation cryptic_species sequence systematics two function taxonomy black cryptic_diversity cryptic_speciation cryptic_variation extreme_environments fruit signal convergence nuclear_loci cryptic_cryptic_diversity family converge
32	trait_evolution phylogenetic_comparative_methods phylogenetic_inference phylogenetic_signal phylogenetic macroevolution phylogenetic_relationships using phylogenetic_analysis trait_life_history_qtl_ecological_genomics microbial_ecology phylogenetic_comparative phylogenetic_estimation phylogenetic_test reveals using_ancestral_state_reconstruction using_ecological_niche_models phylogenetic_analysis_american phylogenetic_comparative_analysis phylogenetic_comparative_data phylogenetic_comparative_method phylogenetic_relationships_among reveals_cryptic_distribution trait trait_life_history using_rna_seq phylogenetic_analyses phylogenetic_model phylogenetic_niche trait_co trait_diversification trait_plants trait_rate trait_shifts trait_tolerance using_microsatellites across adaptation adaptive adaptive_animal	1	evolution next_generation_sequencing population_genetics speciation species gene_flow phylogeography natural_selection gene_expression phylogenetics molecular_evolution species_delimitation model phylogeny diversification using ev	1	evolution speciation phylogenetics molecular_evolution model phylogeny diversification evolutionary behavior biogeography new analysis horizontal_gene_transfer genes trait_evolution plant phylogenomics bayesian_inference tree_life	2	molecular_evolution evolution behavior genes trait_evolution plant comparative_methods geometric_morphometrics variation body_size cryptic_species floral how traits macroevolution phylogenetic_comparative_methods phylogenetic_infe	4	molecular_evolution genes trait_evolution variation cryptic_species phylogenetic_comparative_methods phylogenetic_inference sequence phylogenetic_signal phylogenetic macroevolution molecular protein phylogenetic_relationships syst	8	trait_evolution variation cryptic_species phylogenetic_comparative_methods phylogenetic_inference sequence phylogenetic_signal phylogenetic macroevolution phylogenetic_relationships systematics two function using taxonomy black cr	16	trait_evolution phylogenetic_comparative_methods phylogenetic_inference phylogenetic_signal phylogenetic macroevolution phylogenetic_relationships using phylogenetic_analysis trait_life_history_qtl_ecological_genomics microbial_ec
2	population_genetics fish population_genomics population_structure south snp american genotyping_sequencing age population american_freshwater_fishes american_fruit resistance american_black genetics population_differentiation population_divergence population_dynamics population_genetic can genotyping_population_genetics microsatellites population_community_dynamics population_expansion population_genomic population_size thermal thermal_adaptation dynamics salamander across adaptation adaptive adaptive_animal adaptive_divergence adaptive_diversification adaptive_dynamics adaptive_evolution adaptive_genomics adaptive_landscape	1	evolution next_generation_sequencing population_genetics speciation species gene_flow phylogeography natural_selection gene_expression phylogenetics molecular_evolution species_delimitation model phylogeny diversification using ev	2	next_generation_sequencing population_genetics gene_flow species phylogeography natural_selection gene_expression species_delimitation data population_structure using population_genomics across gene diversity dna complex mimulus g	3	next_generation_sequencing population_genetics phylogeography data population_structure using population_genomics dna coalescent mimulus fish population rad_seq whole_genome wild approach south lizards population_genetic_structure	5	population_genetics phylogeography population_structure population_genomics population fish south lizards population_genetic_structure testing snp population_dynamics american genotyping_sequencing population_genetic population_si	9	population_genetics fish population_genomics population_structure south snp american genotyping_sequencing age population american_freshwater_fishes american_fruit resistance american_black genetics population_differentiation popu	17	(same)
3	population_genetics population_structure population_genomics population_genetic_structure population bacterial population_dynamics population_size modeling salamander population_genetic inference microsatellites different nuclear_loci population_divergence population_genomic cooperation deep_sea_convergence population_conservation_genetics population_genetic_analysis population_genomic_insights deep_divergence deep_sea elements plants population_differentiation population_growth population_high population_history population_isolation population_specific qtl_mapping deep effects fruit nuclear across adaptation adaptive	1	evolution next_generation_sequencing population_genetics speciation species gene_flow phylogeography natural_selection gene_expression phylogenetics molecular_evolution species_delimitation model phylogeny diversification using ev	2	next_generation_sequencing population_genetics gene_flow species phylogeography natural_selection gene_expression species_delimitation data population_structure using population_genomics across gene diversity dna complex mimulus g	3	next_generation_sequencing population_genetics phylogeography data population_structure using population_genomics dna coalescent mimulus fish population rad_seq whole_genome wild approach south lizards population_genetic_structure	5	population_genetics phylogeography population_structure population_genomics population fish south lizards population_genetic_structure testing snp population_dynamics american genotyping_sequencing population_genetic population_si	10	population_genetics phylogeography population_structure population_genomics lizards population_genetic_structure testing population speciation liolaemus bacterial conservation_genetics population_dynamics population_size fishes mo	19	population_genetics population_structure population_genomics population_genetic_structure population bacterial population_dynamics population_size modeling salamander population_genetic inference microsatellites different nuclear_
50	phylogeography lizards testing speciation liolaemus conservation_genetics fishes expansion conservation conservation_genomics differentiation islands balancing_selection conservation_regulatory conservation_salamander liolaemus_lizards physiology seed south across adaptation adaptive adaptive_animal adaptive_divergence adaptive_diversification adaptive_dynamics adaptive_evolution adaptive_genomics adaptive_landscape adaptive_landscape_ecological_speciation adaptive_landscape_population_genomics adaptive_mutations adaptive_radiation adaptive_shifts age american american_black american_freshwater_fishes american_fruit among	1	evolution next_generation_sequencing population_genetics speciation species gene_flow phylogeography natural_selection gene_expression phylogenetics molecular_evolution species_delimitation model phylogeny diversification using ev	2	next_generation_sequencing population_genetics gene_flow species phylogeography natural_selection gene_expression species_delimitation data population_structure using population_genomics across gene diversity dna complex mimulus g	3	next_generation_sequencing population_genetics phylogeography data population_structure using population_genomics dna coalescent mimulus fish population rad_seq whole_genome wild approach south lizards population_genetic_structure	5	population_genetics phylogeography population_structure population_genomics population fish south lizards population_genetic_structure testing snp population_dynamics american genotyping_sequencing population_genetic population_si	10	population_genetics phylogeography population_structure population_genomics lizards population_genetic_structure testing population speciation liolaemus bacterial conservation_genetics population_dynamics population_size fishes mo	20	phylogeography lizards testing speciation liolaemus conservation_genetics fishes expansion conservation conservation_genomics differentiation islands balancing_selection conservation_regulatory conservation_salamander liolaemus_li
12	next_generation_sequencing whole_genome wild approach sunflower mapping next_generation whole_genome_phylogeny wild_sunflower assembly conservation next_generation_sequencing_genotyping_sequencing next_generation_ancestral_polymorphism next_generation_genomic_data next_generation_sequencing_genomics next_generation_sequencing_sequence next_generation_transcriptome_analysis wild_mice wild_populations next next_generation_analysis next_generation_genomes next_generation_sequence whole_genome_duplication whole_transcriptome_sequencing approach_testing approach_using conservation_genetics whole_mitochondrial wild_hybridization wild_insect study across adaptation adaptive adaptive_animal adaptive_divergence adaptive_diversification adaptive_dynamics adaptive_evolution	1	evolution next_generation_sequencing population_genetics speciation species gene_flow phylogeography natural_selection gene_expression phylogenetics molecular_evolution species_delimitation model phylogeny diversification using ev	2	next_generation_sequencing population_genetics gene_flow species phylogeography natural_selection gene_expression species_delimitation data population_structure using population_genomics across gene diversity dna complex mimulus g	3	next_generation_sequencing population_genetics phylogeography data population_structure using population_genomics dna coalescent mimulus fish population rad_seq whole_genome wild approach south lizards population_genetic_structure	6	next_generation_sequencing data using dna coalescent mimulus rad_seq whole_genome wild approach scale niche community_assembly populations rad sunflower environments use geographic_range impact mapping next_generation patterns geo	11	next_generation_sequencing data dna coalescent rad_seq whole_genome wild approach scale populations rad sunflower environments use mapping next_generation whole_genome_phylogeny wild_sunflower assembly conservation next_generation	21	next_generation_sequencing whole_genome wild approach sunflower mapping next_generation whole_genome_phylogeny wild_sunflower assembly conservation next_generation_sequencing_genotyping_sequencing next_generation_ancestral_polymor
39	data dna coalescent rad_seq scale populations rad environments use color_polymorphism rad_sequencing mitochondrial_genome_assembly mitochondrial_nuclear_co environments_daphnia fish mitochondrial_genome mitochondrial_genomes color defense modeling across adaptation adaptive adaptive_animal adaptive_divergence adaptive_diversification adaptive_dynamics adaptive_evolution adaptive_genomics adaptive_landscape adaptive_landscape_ecological_speciation adaptive_landscape_population_genomics adaptive_mutations adaptive_radiation adaptive_shifts age american american_black american_freshwater_fishes american_fruit	1	evolution next_generation_sequencing population_genetics speciation species gene_flow phylogeography natural_selection gene_expression phylogenetics molecular_evolution species_delimitation model phylogeny diversification using ev	2	next_generation_sequencing population_genetics gene_flow species phylogeography natural_selection gene_expression species_delimitation data population_structure using population_genomics across gene diversity dna complex mimulus g	3	next_generation_sequencing population_genetics phylogeography data population_structure using population_genomics dna coalescent mimulus fish population rad_seq whole_genome wild approach south lizards population_genetic_structure	6	next_generation_sequencing data using dna coalescent mimulus rad_seq whole_genome wild approach scale niche community_assembly populations rad sunflower environments use geographic_range impact mapping next_generation patterns geo	11	next_generation_sequencing data dna coalescent rad_seq whole_genome wild approach scale populations rad sunflower environments use mapping next_generation whole_genome_phylogeny wild_sunflower assembly conservation next_generation	22	data dna coalescent rad_seq scale populations rad environments use color_polymorphism rad_sequencing mitochondrial_genome_assembly mitochondrial_nuclear_co environments_daphnia fish mitochondrial_genome mitochondrial_genomes color
26	using mimulus niche community_assembly geographic_range impact patterns data geographic_distribution geographic_variation niche_evolution phylogeographic multiple geographic_distance novelty using_microsatellites using_next_generation_sequencing community_plant_growth distance geographic_range_niche geographic_range_size human using_genome_wide using_rad_sequencing using_rna_seq community divergent_selection evolutionary_novelty extreme geographic geographic_ecological local_adaptation niche_modeling niche_models sea using_environmental using_transcriptomics across divergent genetics	1	evolution next_generation_sequencing population_genetics speciation species gene_flow phylogeography natural_selection gene_expression phylogenetics molecular_evolution species_delimitation model phylogeny diversification using ev	2	next_generation_sequencing population_genetics gene_flow species phylogeography natural_selection gene_expression species_delimitation data population_structure using population_genomics across gene diversity dna complex mimulus g	3	next_generation_sequencing population_genetics phylogeography data population_structure using population_genomics dna coalescent mimulus fish population rad_seq whole_genome wild approach south lizards population_genetic_structure	6	next_generation_sequencing data using dna coalescent mimulus rad_seq whole_genome wild approach scale niche community_assembly populations rad sunflower environments use geographic_range impact mapping next_generation patterns geo	12	using mimulus niche community_assembly geographic_range impact patterns data geographic_distribution geographic_variation niche_evolution phylogeographic multiple geographic_distance novelty using_microsatellites using_next_genera	23	(same)
18	heat_stress symbiosis aphid study system isolation_distance symbiont systematics ancestral_state_reconstruction coral_reef_fishes method among elements shape coral coral_symbiosis coral_whole_transcriptome_sequencing environments coral_deep_sea coral_reef_fish elements_genotyping_sequencing isolation_freshwater_fish temperature temperature_host_shifts testing choice coral_reef dispersal environmental_change environmental_gradients gene_flow island island_like new social social_cooperation study_using environmental heat impact	1	evolution next_generation_sequencing population_genetics speciation species gene_flow phylogeography natural_selection gene_expression phylogenetics molecular_evolution species_delimitation model phylogeny diversification using ev	2	next_generation_sequencing population_genetics gene_flow species phylogeography natural_selection gene_expression species_delimitation data population_structure using population_genomics across gene diversity dna complex mimulus g	4	gene_flow species natural_selection gene_expression species_delimitation across gene diversity complex gene_duplication marine species_tree heat_stress symbiosis recombination transcriptome theory biology likelihood reproduction g	7	species natural_selection species_delimitation complex species_tree heat_stress symbiosis transcriptome theory likelihood genus aphid species_trees teaching study system isolation_distance microbial_ecology natural_populations spe	13	heat_stress symbiosis aphid study system isolation_distance symbiont systematics ancestral_state_reconstruction coral_reef_fishes method among elements shape coral coral_symbiosis coral_whole_transcriptome_sequencing environments 	25	(same)
